Title,Year,Rating
Filth,2013,3.5
Bohemian Rhapsody,2018,2.5
 ,1965,3.5
No Country for Old Men,2007,3.5
La vita è bella,1997,4.5
Primer,2004,2.5
Her,2013,4
Ready Player One,2018,4
Naruto: Shippûden,2017,4
Rush,2013,4.5
I, Tonya,2017,4.5
Baby Driver,2017,4
Doctor Strange,2016,4
Hachi: A Dog's Tale,2008,3
Nostalghia,1983,2.5
Kill Bill: The Whole Bloody Affair,2006,4.5
Ant-Man and the Wasp,2018,3
Upgrade,2018,4
Good Will Hunting,1997,4.5
Shazam!,2019,3
Sherlock Holmes: A Game of Shadows,2011,3.5
Sherlock Holmes,2009,4
Three Billboards Outside Ebbing, Missouri,2017,4.5
Spider-Man: Into the Spider-Verse,2018,4.5
The Hangover,2009,3.5
 ,2014,4.5
Dead Poets Society,1989,5
Gifted,2017,4
The Green Mile,1999,4.5
Bombshell,2019,3
The King of Comedy,1982,4.5
Dallas Buyers Club,2013,4.5
 ,1972,4.5
Lock, Stock and Two Smoking Barrels,1998,4.5
Naruto,2007,4
The Martian,2015,4
Drive,2011,4.5
Eyes Wide Shut,1999,4
2001: A Space Odyssey,1968,4.5
La La Land,2016,5
Jojo Rabbit,2019,4
The Shining,1980,4.5
Sherlock,2017,5
Avatar,2009,3.5
Barry Lyndon,1975,4
Flushed Away,2006,2
X2,2003,3.5
X-Men,2000,3.5
The Avengers,2012,4
Iron Man,2008,4
Black Swan,2010,4.5
Eternal Sunshine of the Spotless Mind,2004,4.5
A Clockwork Orange,1971,5
Spartacus,1960,4.5
Titanic,1997,4
The King's Speech,2010,4
The Truman Show,1998,4.5
One Punch Man,2019,4.5
Full Metal Jacket,1987,4.5
Lolita,1962,3.5
The Silence of the Lambs,1990,4.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,5
Paths of Glory,1957,4.5
The Killing,1956,4
Offret,1986,4
 ,1962,4.5
Chernobyl,2019,5
Game of Thrones,2019,4.5
Maelström,2000,2.5
Pirates of the Caribbean: On Stranger Tides,2011,3
Pirates of the Caribbean: Dead Men Tell No Tales,2017,2.5
 ,2013,1
Sicario,2015,4
Polytechnique,2008,3
Incendies,2010,4
Ford v Ferrari,2019,4.5
Enemy,2013,4.5
Knives Out,2019,4.5
Catch Me If You Can,2002,4.5
 ,1979,5
The Girl with the Dragon Tattoo,2011,4
Source Code,2011,4
Suicide Squad,2016,2.5
Panic Room,2002,3.5
 ,1956,2.5
Zodiac,2007,4
The Game,1997,4.5
Insomnia,2002,4
Memento,2000,5
Interstellar,2014,4.5
Eddie the Eagle,2015,4
One Flew Over the Cuckoo's Nest,1975,5
The Fifth Element,1997,3.5
 ,1973,3.5
Gladiator,2000,4
 ,1968,3.5
The Gentlemen,2019,4.5
Taxi Driver,1976,4
The Lion King,1994,5
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,3
The Godfather,1972,5
Green Book,2018,4.5
Marriage Story,2019,4
Schindler's List,1993,5
Skyfall,2012,4
Kill Bill: Vol. 2,2004,4.5
Inglourious Basterds,2009,4.5
Blade Runner 2049,2017,5
How to Train Your Dragon,2010,4
Guardians of the Galaxy,2014,4
Casino Royale,2006,3.5
Batman Begins,2005,4.5
Captain America: The First Avenger,2011,2.5
Captain Marvel,2019,2.5
Kill Bill: Vol. 1,2003,4
The Wolf of Wall Street,2013,4.5
El Camino: A Breaking Bad Movie,2019,3.5
The Irishman,2019,4
Breaking Bad,2013,5
Gone Girl,2014,4.5
Se7en,1995,5
 ,1999,0.5
Whiplash,2013,5
Django Unchained,2012,4.5
Shutter Island,2009,5
The Departed,2006,5
Fight Club,1999,5
The Dark Knight,2008,5
The Prestige,2006,5
 ,1971,4
Inception,2010,5
The Dark Knight Rises,2012,3.5
Forrest Gump,1994,5
The Shawshank Redemption,1994,5
Reservoir Dogs,1991,4.5
The Social Network,2010,4.5
